1
31241 
1.2  0.5  14.1  0.075  4.675  0.875  3.075  0.35  
5.275  0.575  16.975  0.3  6.875  0.525  13.875  1  
3.1  0.325  16.225  0.4  15.6  0.175  5.175  0.35  
8  0.95  6.375  0.6  14.275  0.925  17.875  0.1  
10.425  0.525  4.85  0.425  7.875  0.1  2.2  0.05  
0.65  0.675  16.125  0.7  9.85  0.625  12.825  0.85  
6.15  0.225  13.075  1  8.675  0.7  11.55  0.4  
18.925  0.175  19.9  0.65  17.975  0.525  6.45  0.425  
10.35  0.8  19.75  1  18.475  0.45  3.25  0.6  
8.1  0.9  15.65  0.325  2.35  0.8  5.575  1  
15.375  0.1  14.525  0.225  17.15  0.275  16.825  0.475  
9.5  0.85  14.6  0.65  5.55  0.9  10.95  0.525  
16.5  0.925  17.75  0.55  10.625  0.725  9.075  0  
19.725  1  14.125  0.4  14.525  0.675  3.975  0.575  
10.6  0.425  14.675  0.05  12.125  0.275  11.75  0.175  
0.275  0.875  12.85  0.05  7.85  0.425  19.7  1  
14.025  0.4  11.875  0  7.225  0.6  19.4  0.3  
18.1  0.25  5.975  0.175  19.675  1  9.8  0.5  
13.925  0  19.65  1  8.35  0.15  8.7  0.25  
16.05  0.25  19.875  0.025  2.8  0.325  1.775  0.65  
8.55  0.9  19.75  0.6  3.875  0.75  10.775  0.325  
15.075  0.175  13.05  0.85  19.625  1  13.175  0.25  
17.35  0.875  7.3  0.375  4.05  0.05  19.6  1  
14.9  0.375  16.625  0.475  17.025  0.85  19.575  1  
10.825  0.875  19.675  0.925  9.225  0.675  12.85  0.85  
19.55  1  18.025  0.45  19.325  0.9  12.45  0.425  
19.525  1  6.025  0.15  14.625  0.025  6.05  0.175  
5.5  0.55  11.9  0.7  19.5  1  16.775  0.45  
6.075  0.1  10.375  0.075  16.9  0.3  15.1  0.225  
9.175  0.625  7.075  0.05  8.875  0.65  14.925  1  
1.35  0.725  12.875  0.45  6  0.75  18.45  0.275  
5.95  0.95  18.95  0.7  1.325  0.75  8.65  0.525  
6.2  0.625  17.15  0.475  12.15  0.225  8.325  0.525  
0.75  0.675  2.475  0.4  7.225  0.875  6.35  0.175  
7.575  0.15  16.825  0.225  12.8  0.875  7.65  0.95  
11.9  0.825  16.75  0.725  2.275  0.7  0.575  0.8  
17.4  0.3  5.35  0.35  6.65  0  18.85  0.775  
19.475  1  19.45  0.825  3.55  0.4  8.225  0.625  
0.275  0.775  16.975  0.2  18.8  0.15  4.425  0.6  
12.625  0.15  4.175  0.975  3.8  0.525  17.45  0.225  
10.8  0.85  10.35  0.725  17.05  0.75  6.525  0.3  
13.675  0.625  15.525  1  19.675  0.525  2.375  0.9  
12.85  0.925  12.225  0.6  14.8  0.8  1.5  0.925  
4.2  0.075  18.35  0.575  7.475  0.5  15.8  0.075  
11.25  0.4  7.1  0.375  6.575  0.625  15.8  0.3  
19.675  0.975  15.975  0.275  19.5  0.675  11.825  0.825  
11.8  0  6.5  0.425  15.775  0.125  11.625  0.125  
